
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.097371441154756
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.703690513323785
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.15454970558014
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.77903027353791
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.12558006769482
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.82357946886557
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.13067995053654
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.91737772451971
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.14838519008751
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.832464590025126
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.12799205629836
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.89380850085409
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.14904580608617
