INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.837941060057595
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.756945185135194
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.83979291536682
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.78735106976806
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.843141431709743
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.879073368726417
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.85016598378439
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.702333528740652
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.84184300493834
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.78184203085507
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.849823315787713
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.783371302819994
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.850981385388557
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.879022119561437
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.853534124960156
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.819014725470883
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.847923919283325
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.74692578152914
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.853872465292337
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.81306475175999
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.844948246500188
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.630439803610436
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.85155154865342
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.811053300807355
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.855514265167592
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.8402942974113
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.854394657650374
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.883164719129084
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.84955772429921
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.78521789599827
